TrendingID,TrendingDate,PeakRank,AppearancesOnChart,ConsecutiveAppearancesOnChart
347,,50,12,3
348,,51,7,2
349,,52,21,4
350,,54,8,4
351,,55,23,4
352,,55,7,4
353,,47,28,4
354,,36,20,2
355,,63,21,4
356,,59,18,2
357,,57,11,2
358,,67,13,2
359,,70,12,3
360,,71,12,2
361,,61,18,1
362,,44,19,2
363,,80,3,2
364,,81,1,1
365,,84,5,2
366,,76,7,2
367,,87,2,2
368,,90,4,1
369,,88,10,2
370,,97,8,1
371,,99,4,1
372,,104,11,1
373,,113,2,1
374,,46,17,1
375,,116,7,1
376,,102,3,1
377,,29,23,1
378,,113,7,1
379,,122,2,1
380,,98,7,1
381,,127,2,1
382,,136,5,1
383,,109,7,1
384,,93,9,1
385,,156,2,1
386,,159,2,1
387,,119,3,1
388,,99,7,1
389,,96,3,1
390,,129,5,1
391,,176,1,1
392,,57,10,1
393,,173,4,1
394,,164,2,1
395,,50,3,3
396,,153,2,2
397,,81,2,2
398,,2,8,8
399,,75,9,9
400,,15,26,26
401,,25,31,3
402,,90,1,1
403,,99,2,2
404,,91,9,9
405,,4,40,4
406,,26,3,3
407,,107,1,1
408,,22,14,14
409,,24,38,38
410,,193,1,1
411,,8,35,35
412,,63,46,4
413,,5,64,4
414,,155,1,1
415,,13,12,12
416,,34,13,4
417,,34,7,7
418,,195,2,1
419,,32,54,1
420,,36,31,5
421,,56,1,1
422,,8,4,4
423,,6,4,4
424,,5,15,15
425,,19,15,4
426,,7,6,6
427,,68,2,2
428,,47,2,2
429,,9,9,9
430,,31,3,3
431,,11,4,1
432,,73,17,8
433,,8,15,3
434,,2,81,81
435,,185,1,1
436,,13,4,4
437,,29,15,15
438,,52,11,2
439,,138,3,3
440,,6,22,22
441,,9,23,1
442,,14,4,4
443,,117,1,1
444,,108,3,3
445,,42,6,6
446,,2,26,26
447,,90,2,2
448,,35,2,2
449,,191,1,1
450,,45,2,2
451,,167,5,2
452,,198,1,1
453,,37,1,1
454,,50,1,1
455,,52,1,1
456,,56,1,1
457,,59,1,1
458,,14,2,2
459,,14,3,3
460,,15,2,2
461,,16,2,2
462,,24,2,2
463,,13,5,5
464,,11,4,4
465,,120,6,6
466,,22,2,2
467,,56,5,5
468,,30,19,19
469,,23,2,2
470,,65,47,14
471,,24,33,1
472,,64,15,15
473,,27,2,2
474,,1,16,16
475,,29,1,1
476,,30,1,1
477,,32,1,1
478,,33,1,1
479,,34,1,1
480,,35,3,1
481,,41,1,1
482,,75,1,1
483,,90,6,1
484,,119,2,1
485,,18,3,3
486,,138,1,1
487,,1,57,5
488,,19,3,3
489,,11,25,25
490,,14,36,36
491,,108,24,6
492,,21,2,2
493,,14,3,3
494,,20,2,2
495,,90,3,3
496,,6,7,7
497,,14,2,2
498,,23,2,2
499,,40,28,3
500,,33,11,11
501,,46,2,2
502,,35,2,2
503,,18,28,28
504,,1,68,68
505,,12,17,17
506,,6,6,6
507,,194,2,2
508,,26,2,2
509,,48,2,2
510,,3,13,13
511,,39,1,1
512,,42,1,1
513,,49,1,1
514,,52,1,1
515,,54,1,1
516,,93,1,1
517,,15,17,17
518,,31,13,1
519,,88,2,2
520,,16,1,1
521,,9,3,3
522,,20,1,1
523,,21,1,1
524,,29,1,1
525,,35,1,1
526,,38,1,1
527,,47,1,1
528,,49,1,1
529,,51,1,1
530,,58,1,1
531,,69,1,1
532,,70,1,1
533,,71,1,1
534,,2,21,21
535,,97,1,1
536,,106,1,1
537,,121,1,1
538,,137,1,1
539,,141,1,1
540,,145,1,1
541,,147,1,1
542,,162,2,2
543,,9,21,21
544,,90,10,10
545,,42,3,3
546,,24,11,11
547,,188,1,1
548,,68,6,6
549,,68,3,3
550,,6,3,3
551,,9,4,4
552,,118,1,1
553,,152,1,1
554,,128,9,7
555,,48,26,26
556,,19,18,18
557,,14,51,51
558,,1,171,5
559,,59,31,31
560,,86,40,40
561,,5,28,28
562,,145,14,14
563,,20,8,8
564,,15,4,4
565,,3,89,4
566,,3,35,35
567,,125,15,15
568,,4,203,203
569,,96,73,1
570,,6,61,1
571,,1,333,2
572,,113,15,15
573,,141,3,3
574,,31,12,12
575,,79,11,3
576,,1,83,1
577,,87,1,1
578,,19,3,3
579,,41,11,11
580,,11,5,5
581,,175,1,1
582,,20,5,5
583,,22,3,3
584,,132,8,1
585,,74,2,1
586,,63,9,9
587,,193,1,1
588,,2,18,18
589,,16,3,3
590,,112,8,8
591,,51,10,10
592,,90,14,14
593,,17,3,3
594,,1,7,7
595,,1,36,36
596,,4,27,27
597,,18,2,2
598,,110,1,1
599,,33,2,2
600,,154,1,1
601,,39,6,6
602,,92,15,15
603,,49,2,2
604,,1,98,2
605,,199,1,1
606,,83,2,2
607,,95,1,1
608,,113,1,1
609,,115,1,1
610,,122,1,1
611,,126,1,1
612,,131,8,8
613,,89,61,9
614,,53,4,4
615,,3,8,8
616,,41,15,15
617,,72,3,3
618,,18,15,15
619,,96,9,9
620,,115,17,17
621,,7,78,1
622,,1,10,10
623,,7,4,4
624,,89,1,1
625,,124,1,1
626,,90,11,11
627,,37,34,34
628,,71,2,2
629,,37,21,21
630,,162,1,1
631,,132,7,7
632,,36,36,36
633,,51,11,11
634,,8,35,35
635,,124,4,4
636,,191,1,1
637,,5,37,3
638,,3,70,70
639,,141,6,1
640,,4,9,9
641,,82,1,1
642,,97,1,1
643,,109,1,1
644,,123,1,1
645,,125,1,1
646,,144,1,1
647,,161,1,1
648,,78,3,3
649,,38,6,6
650,,200,1,1
651,,1,19,19
652,,71,3,3
653,,34,7,7
654,,90,2,2
655,,80,9,9
656,,70,17,17
657,,17,15,15
658,,63,24,24
659,,177,2,1
660,,13,23,23
661,,83,8,8
662,,139,5,5
663,,180,2,1
664,,14,34,34
665,,70,4,4
666,,19,3,3
667,,13,3,3
668,,9,6,6
669,,79,7,7
670,,16,58,58
671,,25,25,25
672,,6,59,1
673,,50,26,26
674,,133,12,12
675,,12,2,2
676,,59,4,4
677,,28,3,3
678,,21,2,2
679,,68,2,2
680,,161,1,1
681,,22,2,2
682,,2,31,31
683,,60,9,9
684,,101,12,12
685,,38,2,2
686,,27,25,1
687,,85,18,18
688,,25,2,2
689,,20,1,1
690,,33,1,1
691,,34,1,1
692,,44,1,1
693,,46,1,1
694,,57,1,1
695,,69,2,1
696,,60,2,1
697,,138,1,1
698,,149,1,1
699,,44,10,10
700,,143,5,5
701,,9,27,27
702,,1,15,15
703,,65,1,1
704,,80,1,1
705,,86,1,1
706,,7,52,11
707,,7,3,3
708,,148,5,5
709,,178,1,1
710,,27,80,2
711,,18,5,5
712,,14,8,8
713,,14,5,5
714,,4,7,7
715,,55,30,19
716,,20,29,2
717,,45,28,28
718,,4,116,1
719,,69,1,1
720,,95,3,3
721,,8,2,2
722,,78,7,7
723,,30,7,7
724,,95,14,14
725,,4,62,1
726,,21,2,2
727,,70,5,1
728,,11,24,1
729,,18,1,1
730,,23,1,1
731,,24,1,1
732,,27,1,1
733,,31,1,1
734,,33,1,1
735,,35,1,1
736,,37,1,1
737,,48,1,1
738,,52,1,1
739,,53,1,1
740,,59,1,1
741,,62,1,1
742,,71,1,1
743,,85,1,1
744,,89,1,1
745,,124,1,1
746,,111,2,2
747,,27,16,16
748,,76,2,2
749,,42,29,28
750,,42,1,1
751,,51,2,2
752,,92,1,1
753,,18,26,26
754,,96,1,1
755,,110,1,1
756,,30,35,1
757,,126,1,1
758,,25,5,5
759,,86,8,8
760,,164,2,2
761,,176,2,2
762,,65,6,6
